 0, 0
 0.01, 0
 0.02, 0.0287945
 0.03, 0.204521
 0.04, 0.538853
 0.05, 1.02965
 0.06, 1.67378
 0.07, 2.46712
 0.08, 3.40459
 0.09, 4.4802
 0.1, 5.68706
 0.11, 7.01746
 0.12, 8.46289
 0.13, 10.0141
 0.14, 11.6612
 0.15, 13.3936
 0.16, 15.2002
 0.17, 17.0695
 0.18, 18.9896
 0.19, 20.948
 0.2, 22.9325
 0.21, 24.9301
 0.22, 26.9282
 0.23, 28.9139
 0.24, 30.8746
 0.25, 32.7978
 0.26, 34.671
 0.27, 36.4824
 0.28, 38.2204
 0.29, 39.8738
 0.3, 41.432
 0.31, 42.8851
 0.32, 44.2239
 0.33, 45.4396
 0.34, 46.5246
 0.35, 47.472
 0.36, 48.2756
 0.371, 48.9303
 0.381, 49.4319
 0.391, 49.7772
 0.401, 49.9641
 0.411, 50
 0.421, 50
 0.431, 50
 0.441, 50
 0.451, 50
 0.461, 50
 0.471, 50
 0.481, 50
 0.491, 50
 0.501, 50
 0.511, 50
 0.521, 50
 0.531, 50
 0.541, 50
 0.551, 50
 0.561, 50
 0.571, 50
 0.581, 50
 0.591, 50
 0.601, 50
 0.611, 50
 0.621, 50
 0.631, 50
 0.641, 50
 0.651, 50
 0.661, 50
 0.671, 50
 0.681, 50
 0.691, 50
 0.701, 50
 0.711, 50
 0.721, 50
 0.731, 50
 0.741, 50
 0.751, 50
 0.761, 50
 0.771, 50
 0.781, 50
 0.791, 50
 0.801, 50
 0.811, 50
 0.821, 50
 0.831, 50
 0.841, 50
 0.851, 50
 0.861, 50
 0.871, 50
 0.881, 50
 0.891, 50
 0.901, 50
 0.911, 50
 0.921, 50
 0.931, 50
 0.941, 50
 0.951, 50
 0.961, 50
 0.971, 50
 0.981, 50
 0.991, 50
 1.001, 50
 1.011, 50
 1.021, 50
 1.031, 50
 1.041, 50
 1.051, 50
 1.061, 50
 1.071, 50
 1.081, 50
 1.091, 50
 1.101, 50
 1.111, 50
 1.121, 50
 1.131, 50
 1.141, 50
 1.151, 50
 1.161, 50
 1.171, 50
 1.181, 50
 1.191, 50
 1.201, 50
 1.211, 50
 1.221, 50
 1.231, 50
 1.241, 50
 1.251, 50
 1.261, 50
 1.271, 50
 1.281, 50
 1.291, 50
 1.301, 50
 1.311, 50
 1.321, 50
 1.331, 50
 1.341, 50
 1.351, 50
 1.362, 50
 1.371, 50
 1.381, 50
 1.392, 50
 1.401, 50
 1.411, 50
 1.422, 50
 1.431, 50
 1.441, 50
 1.453, 50
 1.462, 50
 1.472, 50
 1.482, 50
 1.492, 50
 1.502, 50
 1.512, 50
 1.522, 50
 1.532, 50
 1.542, 50
 1.552, 50
 1.562, 50
 1.572, 50
 1.582, 50
 1.592, 50
 1.602, 50
 1.612, 50
 1.622, 50
 1.632, 50
 1.642, 50
 1.652, 50
 1.662, 50
 1.673, 50
 1.682, 50
 1.692, 50
 1.702, 50
 1.712, 50
 1.722, 50
 1.732, 50
 1.742, 50
 1.752, 50
 1.763, 50
 1.773, 50
 1.783, 50
 1.793, 50
 1.803, 50
 1.813, 50
 1.823, 50
 1.833, 50
 1.843, 50
 1.853, 50
 1.863, 50
 1.873, 50
 1.883, 50
 1.893, 50
 1.903, 50
 1.913, 50
 1.923, 50
 1.933, 50
 1.943, 50
 1.954, 50
 1.963, 50
 1.973, 50
 1.983, 50
 1.993, 50
 2.003, 50
 2.014, 50
 2.023, 50
 2.033, 50
 2.043, 50
 2.053, 50
 2.063, 50
 2.073, 50
 2.083, 50
 2.093, 50
 2.103, 50
 2.113, 50
 2.123, 50
 2.133, 50
 2.143, 50
 2.153, 50
 2.163, 50
 2.173, 50
 2.183, 50
 2.193, 50
 2.203, 50
 2.213, 50
 2.223, 50
 2.234, 50
 2.243, 50
 2.253, 50
 2.263, 50
 2.273, 50
 2.283, 50
 2.293, 50
 2.304, 50
 2.313, 50
 2.323, 50
 2.333, 50
 2.343, 50
 2.353, 50
 2.363, 50
 2.373, 50
 2.383, 50
 2.393, 50
 2.412, 50
 2.422, 50
 2.433, 50
 2.443, 50
 2.453, 50
 2.463, 50
 2.473, 50
 2.484, 50
 2.493, 50
 2.503, 50
 2.513, 50
 2.523, 50
 2.533, 50
 2.544, 50
 2.553, 50
 2.563, 50
 2.573, 50
 2.583, 50
 2.593, 50
 2.603, 50
 2.613, 50
 2.623, 50
 2.633, 50
 2.643, 50
 2.653, 50
 2.663, 50
 2.673, 50
 2.683, 50
 2.693, 50
 2.703, 50
 2.713, 50
 2.723, 50
 2.733, 50
 2.743, 50
 2.753, 50
 2.764, 50
 2.773, 50
 2.783, 50
 2.794, 50
 2.803, 50
 2.813, 50
 2.825, 50
 2.834, 50
 2.844, 50
 2.855, 50
 2.864, 50
 2.874, 50
 2.884, 50
 2.894, 50
 2.904, 50
 2.914, 50
 2.924, 50
 2.934, 50
 2.944, 50
 2.954, 50
 2.964, 50
 2.974, 50
 2.985, 50
 2.994, 50
 3.004, 50
 3.014, 50
 3.024, 50
 3.034, 50
 3.045, 50
 3.054, 50
 3.064, 50
 3.075, 50
 3.084, 50
 3.095, 50
 3.105, 50
 3.114, 50
 3.124, 50
 3.135, 50
 3.145, 50
 3.155, 50
 3.165, 50
 3.175, 50
 3.184, 50
 3.195, 50
 3.205, 50
 3.214, 50
 3.225, 50
 3.235, 50
 3.245, 50
 3.255, 50
 3.265, 50
 3.275, 50
 3.285, 50
 3.295, 50
 3.305, 50
 3.315, 50
 3.325, 50
 3.335, 50
 3.345, 50
 3.355, 50
 3.365, 50
