 0, 0
 0.041, 0
 0.051, 0.0127989
 0.061, 0.156636
 0.074, 0.624582
 0.084, 1.14633
 0.13, 5.43555
 0.14, 6.7419
 0.187, 14.1079
 0.232, 22.9325
 0.26, 28.5184
 0.274, 31.2627
 0.325, 40.1933
 0.373, 46.5246
 0.385, 47.6444
 0.42, 49.7208
 0.431, 49.9395
 0.476, 50
 0.493, 50
 0.503, 50
 0.513, 50
 0.523, 50
 0.533, 50
 0.543, 50
 0.594, 50
 0.613, 50
 0.623, 50
 0.633, 50
 0.651, 50
 0.693, 50
 0.725, 50
 0.735, 50
 0.783, 50
 0.823, 50
 0.833, 50
 0.843, 50
 0.853, 50
 0.863, 50
 0.873, 50
 0.883, 50
 0.893, 50
 0.903, 50
 0.944, 50
 0.954, 50
 0.97, 50
 0.98, 50
 0.99, 50
 1, 50
 1.01, 50
 1.02, 50
 1.035, 50
 1.08, 50
 1.09, 50
 1.1, 50
 1.11, 50
 1.12, 50
 1.13, 50
 1.14, 50
 1.15, 50
 1.16, 50
 1.207, 50
 1.219, 50
 1.257, 50
 1.267, 50
 1.313, 50
 1.333, 50
 1.343, 50
 1.353, 50
 1.363, 50
 1.373, 50
 1.412, 50
 1.422, 50
 1.446, 50
 1.456, 50
 1.466, 50
 1.476, 50
 1.525, 50
 1.535, 50
 1.567, 50
 1.577, 50
 1.587, 50
 1.6, 50
 1.641, 50
 1.686, 50
 1.696, 50
 1.706, 50
 1.716, 50
 1.726, 50
 1.736, 50
 1.746, 50
 1.756, 50
 1.766, 50
 1.805, 50
 1.815, 50
 1.856, 50
 1.899, 50
 1.929, 50
 1.939, 50
 1.949, 50
 1.959, 50
 1.969, 50
 2.011, 50
 2.021, 50
 2.047, 50
 2.063, 50
 2.109, 50
 2.15, 50
 2.16, 50
 2.196, 50
 2.211, 50
 2.254, 50
 2.264, 50
 2.285, 50
 2.295, 50
 2.305, 50
 2.315, 50
 2.325, 50
 2.335, 50
 2.37, 50
 2.381, 50
 2.403, 50
 2.413, 50
 2.423, 50
 2.433, 50
 2.481, 50
 2.516, 50
 2.529, 50
 2.572, 50
 2.584, 50
 2.628, 50
 2.671, 50
 2.712, 50
 2.722, 50
 2.748, 50
 2.758, 50
 2.768, 50
 2.785, 50
 2.828, 50
 2.862, 50
 2.872, 50
